split,roc_auc,brier,precision_at_10
train,0.9670521599999999,0.07419050484895706,0.9120000000000001
val,0.9530160390516039,0.08576685190200806,0.8916666666666667
test,0.9033915724563206,0.12826156616210938,0.8357142857142857
