driver_tier,roc_auc,brier,n
Tier 3 (Back),0.9241400491400491,0.08718055486679077,213
Tier 2 (Mid),0.9097222222222223,0.12651276588439941,99
Tier 1 (Top),0.8092105263157894,0.05980898067355156,167
